S. No,reward_id,user_id,date,app_id
0,3712,4cb29e43-9f23-42fe-bab8-2422f42e7a91,11/29/2022,sikka
1,935,4cb29e43-9f23-42fe-bab8-2422f42e7a91,11/29/2022,sikka
2,3416,44f9c9f1-1ce1-4b04-8042-ddb1c548c589,11/28/2022,sikka
3,3720,55e70808-0ed9-44fd-9d87-819ba9dc4d3e,11/27/2022,sikka
4,3735,4cb29e43-9f23-42fe-bab8-2422f42e7a91,11/29/2022,sikka
5,3735,44f9c9f1-1ce1-4b04-8042-ddb1c548c589,11/28/2022,sikka
6,3633,44f9c9f1-1ce1-4b04-8042-ddb1c548c589,11/28/2022,sikka
7,3156,805763d6-87b3-40c7-bb84-dd663669c836,11/27/2022,sikka_pro
8,3735,5baab7e2-f5ad-4f9d-b749-9d8e9bee9d2d,11/28/2022,sikka_pro
9,3722,44f9c9f1-1ce1-4b04-8042-ddb1c548c589,11/29/2022,sikka
10,3572,805763d6-87b3-40c7-bb84-dd663669c836,11/27/2022,sikka_pro
11,3703,5baab7e2-f5ad-4f9d-b749-9d8e9bee9d2d,11/27/2022,sikka_pro
12,2613,4960fecc-a53a-4d08-99e6-5ef807d9f270,11/26/2022,sikka_pro
13,3709,6b4c4353-05e7-4bd3-9a3c-de0d1a19c700,11/26/2022,sikka_pro
14,3722,4960fecc-a53a-4d08-99e6-5ef807d9f270,11/26/2022,sikka_pro
15,3720,d0213a98-fcb0-4b1d-b795-ed89ddc61f9a,11/27/2022,sikka_pro
16,935,c925ccad-98e7-4500-833e-a49aa066aeec,11/26/2022,sikka
17,3362,738049d5-018a-41e7-b2a1-8604fe07cad2,11/26/2022,sikka
18,3657,4cb29e43-9f23-42fe-bab8-2422f42e7a91,11/26/2022,sikka
19,3670,39b085c1-1e08-4d4e-ae85-04c40647c989,11/26/2022,sikka_pro
20,3653,4960fecc-a53a-4d08-99e6-5ef807d9f270,11/26/2022,sikka_pro
21,2613,44f9c9f1-1ce1-4b04-8042-ddb1c548c589,11/29/2022,sikka
22,3653,ae5096d9-fa15-443d-9f30-c9a46abf4359,11/26/2022,sikka
23,3722,3db62aad-421b-474e-9b1e-8a88ff370d4f,11/26/2022,sikka
24,3657,e066a509-b551-43bf-87a3-7416ecb7ce73,11/26/2022,sikka_pro
25,3709,39b085c1-1e08-4d4e-ae85-04c40647c989,11/26/2022,sikka_pro
26,3667,39b085c1-1e08-4d4e-ae85-04c40647c989,11/26/2022,sikka_pro
27,3717,dd3eeb44-eb7a-4453-a6ca-c69a32e41bf2,11/26/2022,sikka
28,2613,6b4c4353-05e7-4bd3-9a3c-de0d1a19c700,11/26/2022,sikka_pro
29,3416,39b085c1-1e08-4d4e-ae85-04c40647c989,11/26/2022,sikka_pro
30,3722,39b085c1-1e08-4d4e-ae85-04c40647c989,11/26/2022,sikka_pro
31,3372,39b085c1-1e08-4d4e-ae85-04c40647c989,11/26/2022,sikka_pro
32,935,3db62aad-421b-474e-9b1e-8a88ff370d4f,11/26/2022,sikka
33,3722,0bdf2e4e-c610-4196-b8be-f08e24e97058,11/26/2022,sikka
34,3722,5baab7e2-f5ad-4f9d-b749-9d8e9bee9d2d,11/26/2022,sikka_pro
35,3702,39b085c1-1e08-4d4e-ae85-04c40647c989,11/26/2022,sikka_pro
36,3702,0bdf2e4e-c610-4196-b8be-f08e24e97058,11/26/2022,sikka
37,935,805763d6-87b3-40c7-bb84-dd663669c836,11/27/2022,sikka_pro
38,3702,417bcb37-44cf-43c3-ba51-5d39c825caf7,11/27/2022,sikka_pro
39,3729,6b4c4353-05e7-4bd3-9a3c-de0d1a19c700,11/26/2022,sikka_pro
