S. No,user_id,offer_id,status,started_at,completed_at,expires_at,,,,,
0,44f9c9f1-1ce1-4b04-8042-ddb1c548c589,792,ONGOING,2022-11-26 07:25:38.995614+00:00,,2022-11-27 18:29:59+00:00,,,,,
1,e5c792a3-9cd9-4d10-a7b5-e5ee0f0f5fad,3462,ONGOING,2022-11-26 01:19:42.059483+00:00,,2022-11-28 01:19:42.066140+00:00,,,,,
2,033c38d4-fd46-45a2-b09a-18d637c54129,3462,ONGOING,2022-11-26 14:12:39.365453+00:00,,2022-11-28 14:12:39.369689+00:00,,,,,
3,8a488246-83d3-4028-b216-85ee8c3e504d,2328,ONGOING,2022-11-26 02:51:44.438026+00:00,,2022-11-28 02:51:44.441869+00:00,,,,,
4,aff26172-41d6-4e69-9b02-48011fe35804,3467,ONGOING,2022-11-26 11:44:25.915581+00:00,,2022-11-28 11:44:25.921249+00:00,,,,,
5,53134b4c-9bbf-4296-bea4-62587663f030,3015,ONGOING,2022-11-26 10:02:03.861407+00:00,,2022-11-28 10:02:03.867601+00:00,,,,,
6,e1b85271-8f91-4d7a-90d6-42d97a2a30c5,3507,ONGOING,2022-11-26 13:48:09.848605+00:00,,2022-11-28 13:48:09.853440+00:00,,,,,
7,c303ce63-ce0c-4ca6-a59f-a834e10ea59a,3534,ONGOING,2022-11-26 13:32:02.362629+00:00,,2022-11-28 13:32:02.371708+00:00,,,,,
8,44f9c9f1-1ce1-4b04-8042-ddb1c548c589,3507,ONGOING,2022-11-26 12:50:26.617867+00:00,,2022-11-28 12:50:26.624296+00:00,,,,,
9,c303ce63-ce0c-4ca6-a59f-a834e10ea59a,3469,ONGOING,2022-11-26 13:34:09.907098+00:00,,2022-11-28 13:34:09.911286+00:00,,,,,
10,c303ce63-ce0c-4ca6-a59f-a834e10ea59a,3340,ONGOING,2022-11-26 04:56:03.408583+00:00,,2022-11-28 04:56:03.421637+00:00,,,,,
11,033c38d4-fd46-45a2-b09a-18d637c54129,3340,ONGOING,2022-11-26 02:57:18.734880+00:00,,2022-11-28 02:57:18.743897+00:00,,,,,
12,7cdb9d2c-9644-42d0-8d44-50fa57747523,3340,ONGOING,2022-11-26 00:03:03.462440+00:00,,2022-11-28 00:03:03.468143+00:00,,,,,
13,e2dfd115-a8b0-4e3e-96e5-9b11e5f316f1,3340,ONGOING,2022-11-26 00:04:13.885525+00:00,,2022-11-28 00:04:13.890627+00:00,,,,,
14,53134b4c-9bbf-4296-bea4-62587663f030,3321,ONGOING,2022-11-26 02:08:04.552549+00:00,,2022-11-28 02:08:04.558522+00:00,,,,,
15,a6d5ed73-5c1c-4666-a592-f93ab4489cf5,3340,ONGOING,2022-11-26 00:05:38.867282+00:00,,2022-11-28 00:05:38.872164+00:00,,,,,
16,44f9c9f1-1ce1-4b04-8042-ddb1c548c589,3513,ONGOING,2022-11-26 02:08:10.807672+00:00,,2022-11-28 02:08:10.813211+00:00,,,,,
17,c925ccad-98e7-4500-833e-a49aa066aeec,3534,ONGOING,2022-11-26 00:05:44.859932+00:00,,2022-11-28 00:05:44.865124+00:00,,,,,
18,1e4f284c-afcd-4342-b3ac-c5dd689c4258,3467,ONGOING,2022-11-26 04:58:22.454852+00:00,,2022-11-28 04:58:22.464410+00:00,,,,,
19,f55000a3-dd68-44d8-b461-41c85d963ce2,3173,ONGOING,2022-11-26 00:06:18.862567+00:00,,2022-11-28 00:06:18.868052+00:00,,,,,
20,f55000a3-dd68-44d8-b461-41c85d963ce2,3399,ONGOING,2022-11-26 04:58:41.598393+00:00,,2022-11-28 04:58:41.604538+00:00,,,,,
21,c3e07fd8-ed1c-4e95-a4b7-e8b8f523fdad,3467,ONGOING,2022-11-26 00:09:25.241484+00:00,,2022-11-28 00:09:25.246824+00:00,,,,,
22,f55000a3-dd68-44d8-b461-41c85d963ce2,792,ONGOING,2022-11-26 05:00:08.055834+00:00,,2022-11-28 05:00:08.059865+00:00,,,,,
23,ddc13f03-f1a9-4feb-a821-a7b56fb66d64,3467,ONGOING,2022-11-26 00:10:05.744473+00:00,,2022-11-28 00:10:05.749011+00:00,,,,,
24,c51167f6-ff5c-49a8-ae3a-ba5d0c2cccaf,3467,ONGOING,2022-11-26 06:47:36.194668+00:00,,2022-11-28 06:47:36.199645+00:00,,,,,
25,44f9c9f1-1ce1-4b04-8042-ddb1c548c589,3340,ONGOING,2022-11-26 00:10:49.922588+00:00,,2022-11-28 00:10:49.928315+00:00,,,,,
26,9a18c27d-9692-40d7-a094-c6d453da2397,3512,ONGOING,2022-11-26 00:11:33.070285+00:00,,2022-11-28 00:11:33.074898+00:00,,,,,
27,a6d5ed73-5c1c-4666-a592-f93ab4489cf5,3467,ONGOING,2022-11-26 00:13:46.722361+00:00,,2022-11-28 00:13:46.726279+00:00,,,,,
28,4cb29e43-9f23-42fe-bab8-2422f42e7a91,3340,ONGOING,2022-11-26 00:13:53.620425+00:00,,2022-11-28 00:13:53.625780+00:00,,,,,
29,1f0ec030-c73b-4f7b-947c-16bcd69eeb9b,3340,ONGOING,2022-11-26 00:13:56.441341+00:00,,2022-11-28 00:13:56.446842+00:00,,,,,
30,738049d5-018a-41e7-b2a1-8604fe07cad2,3173,COMPLETED,2022-11-26 00:15:39.744230+00:00,2022-11-26 00:39:11.100117+00:00,,,,,,
31,53134b4c-9bbf-4296-bea4-62587663f030,2945,ONGOING,2022-11-26 02:10:39.163594+00:00,,2022-11-28 02:10:39.172904+00:00,,,,,
32,f55000a3-dd68-44d8-b461-41c85d963ce2,3227,ONGOING,2022-11-26 05:01:37.440478+00:00,,2022-11-28 05:01:37.446643+00:00,,,,,
33,cdd52dda-5714-4e06-b18b-def7db8d88c6,3340,ONGOING,2022-11-26 00:16:01.305538+00:00,,2022-11-28 00:16:01.310863+00:00,,,,,
34,4960fecc-a53a-4d08-99e6-5ef807d9f270,2415,COMPLETED,2022-11-26 00:16:28.007987+00:00,2022-11-26 00:20:41.045066+00:00,,,,,,
35,57e1afc6-a597-4cab-9ddb-72a35c913358,3507,ONGOING,2022-11-26 00:17:55.435882+00:00,,2022-11-28 00:17:55.441801+00:00,,,,,
36,7cee313f-9b88-4deb-a05a-4d364634b4ce,3467,ONGOING,2022-11-26 00:16:39.353499+00:00,,2022-11-28 00:16:39.358153+00:00,,,,,
37,57e1afc6-a597-4cab-9ddb-72a35c913358,3480,ONGOING,2022-11-26 00:18:45.955060+00:00,,2022-11-28 00:18:45.959200+00:00,,,,,
38,738049d5-018a-41e7-b2a1-8604fe07cad2,3340,ONGOING,2022-11-26 00:19:26.953516+00:00,,2022-11-28 00:19:26.956897+00:00,,,,,
39,b0afbb84-753c-4e3b-a461-254c04a0062e,3173,ONGOING,2022-11-26 00:19:35.987709+00:00,,2022-11-28 00:19:35.993542+00:00,,,,,
40,c925ccad-98e7-4500-833e-a49aa066aeec,3505,ONGOING,2022-11-26 00:19:47.467175+00:00,,2022-11-28 00:19:47.470456+00:00,,,,,
