S. No,offer_id,reward_id,label_in_english,total_payout_in_paise,total_revenue_in_paise
0,369,451,Download APK,500,0
1,400,488,Download,30,0
2,402,491,Download,500,0
3,447,541,Register on App,500,0
4,478,586,Complete Registration,500,0
5,482,590,Download APK,1000,0
6,488,596,Complete Registration,280,0
7,490,598,Open Account ,7000,0
8,493,601,Complete Registration,600,0
9,494,602,Download APK,800,0
10,495,603,Install,250,0
11,497,605,Download,30,0
12,497,606,Additional Task,20,0
13,500,610,Install,400,0
14,507,620,Download,300,0
15,509,622,Complete Registration,300,0
16,512,625,Download,700,0
17,514,627,Register on App,300,0
18,515,630,Complete Registration,300,0
19,522,637,Complete Registration,6000,0
20,524,639,Complete Registration,500,0
21,526,642,Download APK,1200,0
22,527,643,Complete Registration,700,0
23,472,580,Additional Cashback,350,0
24,69,85,Additional Cashback,250,0
25,528,644,Cashback on Team creation,900,0
26,542,659,Cashback on Class joining,700,0
27,525,641,Cashback on Class joining,800,0
28,1,1,Complete Registration,300,0
29,2,2,Install App,800,0
30,3,3,Install App,400,0
31,12,15,label,100,0
32,375,458,Watch Video,0,0
33,370,452,Register on APK,600,0
34,391,477,Additional Task,0,0
35,403,492,Register on APK,500,0
36,448,542,Register on App,500,0
37,1083,1251,Complete Registration,400,0
38,479,587,Complete Registration,100,0
39,489,597,Download,4500,0
40,491,599,Download APK,500,0
41,483,591,Install,800,0
42,496,604,Install,400,0
43,498,607,Download,30,0
44,501,611,Install,400,0
45,508,621,Download,300,0
46,510,623,Complete Registration,300,0
47,513,626,Complete Registration,200,0
48,524,640,Additional Task,700,0
49,409,628,Bonus Video Reward,1000,0
50,345,629,Bonus Video Reward,1000,0
51,517,632,Complete Registration,300,0
52,523,638,Deposit and Play,400,0
53,4,5,Cashback on first gameplay,500,0
54,543,660,Complete KYC,6000,0
55,544,661,Cashback on Video view,600,0
56,25,30,Install APK,400,0
57,26,31,Install APK,400,0
58,28,33,Install APK,400,0
59,29,34,Install App,400,0
60,32,37,Complete Registration,800,0
61,371,453,Complete Registration,700,0
62,381,465,Complete KYC,0,0
63,404,493,Complete Registration,300,0
64,449,543,Register on APK,600,0
65,474,582,Complete Registration,900,0
66,480,588,Complete Registration,100,0
67,484,592,Register on APK,800,0
68,492,600,Download,200,0
69,498,608,Additional Task,20,0
70,502,612,Download,30,0
71,511,624,Complete Registration,300,0
72,518,633,Register on App,1000,0
73,166,202,Additional Reward,250,0
74,45,55,Register on APK,300,0
75,48,58,Join Free Class,1200,0
76,49,60,Additional Reward,200,0
77,41,51,Additional Task,500,0
78,41,50,Download ,1000,0
79,50,61,Download APK,1000,0
80,529,645,Cashback on Video view,600,0
81,545,662,Download,800,0
82,556,673,Complete Registration,800,0
83,557,674,bvvnvv ,3500,0
84,558,675,Cashback on first gameplay,600,0
85,54,66,Register on APK,600,0
86,49,59,Download ,400,0
87,53,65,Register on APK,400,0
88,46,56,Download APK,300,0
89,44,54,Download ,1000,0
90,561,678,Cashback on VPN connection,30,0
91,372,454,Complete Registration,400,0
92,405,494,Download,300,0
93,408,498,Download,300,0
94,409,499,Download,350,0
95,416,507,Additional Task,300,0
96,418,510,Download,200,0
97,427,520,Download,500,0
98,449,544,Additional Task,250,0
99,475,583,Complete KYC,6000,0
100,481,589,Download,200,0
101,485,593,Complete Registration,700,0
102,499,609,Register on App,1000,0
103,502,613,Additional Task,20,0
104,519,634,Deposit and Play,600,0
105,774,912,Complete Registration,200,0
106,69,84,Cashback on Class joining,1010,0
107,529,646,Additional Cashback,550,0
108,546,663,Complete Registration,300,0
109,559,676,Download APK,300,0
110,561,679,Additional Task,20,0
111,563,681,Cahback on Account opening,7000,0
112,775,913,Quiz Contest,1000,0
113,778,916,Deposit and Play,600,0
114,779,917,Complete Registration,200,0
115,780,918,Deposit and Play,500,0
116,781,919,Download,200,0
117,783,923,Cashback on Score Check.,50,0
118,1022,1184,Additional Task,1300,0
119,61,75,Additional Reward,200,0
120,1084,1252,Complete Registration.,500,0
121,5,6,Complete Registration,800,0
122,40,49,Complete Registration,500,0
123,373,455,Complete Registration,0,0
124,405,495,Additional Task,0,0
125,450,545,Watch Video,300,0
126,476,584,Complete KYC,6500,0
127,486,594,Register on APK,700,0
128,503,614,Download,30,0
129,520,635,Complete Registration,200,0
130,592,714,Register for Pay Later,10000,0
131,593,715,Complete Registration,600,0
132,336,407,Cashback on sharing content.,300,0
133,547,664,Complete Registration,300,0
134,560,677,Cashback on KYC completion.,7000,0
135,562,680,Deposit and Play,500,0
136,564,682,Cashback on first gameplay,600,0
137,565,683,Cashback on KYC completion.,7500,0
138,570,688,Complete Registration,300,0
139,576,697,Cashback on first gameplay,400,0
140,578,699,Complete Registration,600,0
141,579,700,Download,100,0
142,580,701,Download,200,0
143,583,704,Download,30,0
144,584,705,Download,100,0
145,585,707,Deposit and Play,500,0
146,587,709,Complete Registration,300,0
147,588,710,Complete Registration,400,0
148,589,711,Complete Registration,300,0
149,590,712,Download,30,0
150,591,713,Register for Pay Later,10000,0
151,594,716,Cahback on Account opening,6000,0
152,595,717,Register on APK,300,0
153,781,920,Additional Task,300,0
154,77,93,Download,30,0
155,77,94,Additional Task,20,0
156,374,456,Watch Video,0,0
157,407,497,Register and Play,400,0
158,451,546,Complete Registration,800,0
159,477,585,Complete Registration,800,0
160,487,595,Download APK,600,0
161,521,636,Download APK,1200,0
162,335,405,Cashback on Video view,300,0
163,776,914,Quiz Contest,1000,0
164,782,921,Download,200,0
165,783,924,Additional Task,150,0
166,1023,1185,Download.,200,0
167,410,500,Cashback on Account Open.,800,0
168,1024,1186,Complete Registration,4500,0
169,2960,3187,Register,300,1223
170,504,615,Cashback on Gameplay.,30,0
171,548,665,Cashback on Depositing Money,6000,0
172,566,684,Complete Registration,300,0
173,1026,1188,Complete Registration,100,0
174,406,496,Cashback on first gameplay,800,0
175,571,689,Download,200,0
176,577,698,Install,400,0
177,581,702,Download APK,400,0
178,584,706,Additional Task,400,0
179,586,708,Cashback on KYC completion.,6000,0
180,596,718,Download,800,0
181,1027,1189,Complete Registration,200,0
182,1028,1190,Open Account,5000,0
183,1029,1191,Download,200,0
184,1030,1192,Complete Registration,400,0
185,1031,1193,Complete Registration.,4500,0
186,1032,1194,Watch Video,200,0
187,1033,1195,Cashback on first gameplay,600,0
188,1085,1253,Complete Registration,200,0
189,124,157,Download,200,0
190,124,158,Additional Task,300,0
191,140,176,Download,150,0
192,374,457,Additional Task,0,0
193,386,470,Download,0,0
194,411,501,Register on App,900,0
195,777,915,Quiz Contest,1000,0
196,782,922,Additional Task,300,0
197,582,703,Account Open,6000,0
198,612,736,Download,300,0
199,530,647,Cashback on first gameplay,400,0
200,504,616,"Additional Cashback
",20,0
201,549,666,Complete Registration,6000,0
202,567,685,Download,200,0
203,572,690,Complete Registration,300,0
204,597,719,Complete Registration,600,0
205,598,720,Complete Registration,300,0
206,600,722,Complete Registration,300,0
207,601,723,Complete Registration,600,0
208,602,724,Complete Registration,900,0
209,603,725,Complete Registration,400,0
